GEOID,Median_Rent
1400000US06001451104,2684
1400000US06001451201,2057
1400000US06001451202,2596
1400000US06001451300,2367
1400000US06001451401,1916
1400000US06001451403,2490
1400000US06001451404,1899
1400000US06001451501,2102
1400000US06001451503,1736
1400000US06001451504,2306
1400000US06001451505,2929
1400000US06001451506,2093
1400000US06001451601,1989
1400000US06001451602,2272
1400000US06001451701,2736
1400000US06001451703,2744
1400000US06001451704,1975
1400000US06001981900,2795
1400000US06001982000,-
1400000US06001982100,-
1400000US06001983200,3350
1400000US06001990000,-
1400000US06003010000,639
1400000US06005000101,1607
1400000US06005000102,1022
1400000US06005000201,1124
1400000US06005000202,989
1400000US06005000301,1135
1400000US06005000303,933
1400000US06005000304,1232
1400000US06005000401,1109
1400000US06005000402,-
1400000US06005000500,1268
1400000US06007000102,1125
1400000US06007000103,1727
1400000US06007000104,1108
1400000US06007000201,1111
1400000US06007000202,1122
1400000US06007000300,966
1400000US06007000401,1396
1400000US06007000403,1353
1400000US06007000404,1780
1400000US06007000501,1308
1400000US06007000502,1115
1400000US06007000601,1253
1400000US06007000603,963
1400000US06007000604,1005
1400000US06007000700,1168
1400000US06007000800,1459
1400000US06007000901,1373
1400000US06007000903,1151
1400000US06007000904,1197
1400000US06007001000,870
1400000US06007001100,1010
1400000US06007001200,1136
1400000US06007001300,940
1400000US06007001400,1518
1400000US06007001500,1321
1400000US06007001601,-
1400000US06007001602,1722
1400000US06007001702,-
1400000US06007001703,1340
1400000US06007001704,1070
1400000US06007001800,879
1400000US06007001900,-
1400000US06007002000,1484
1400000US06007002100,996
1400000US06007002200,862
1400000US06007002300,1130
1400000US06007002401,813
1400000US06007002402,924
1400000US06007002500,812
1400000US06007002601,856
1400000US06007002602,1279
1400000US06007002700,954
1400000US06007002800,835
1400000US06007002900,863
1400000US06007003001,958
1400000US06007003002,1044
1400000US06007003100,920
1400000US06007003200,959
1400000US06007003300,1023
1400000US06007003400,781
1400000US06007003501,1065
1400000US06007003502,825
1400000US06007003600,1171
1400000US06007003700,1245
1400000US06009000121,1292
1400000US06009000122,1298
1400000US06009000123,2012
1400000US06009000124,-
1400000US06009000220,1820
1400000US06009000221,978
1400000US06009000222,1411
1400000US06009000301,1268
1400000US06009000302,1592
1400000US06009000400,1036
1400000US06009000501,1458
1400000US06009000504,-
1400000US06009000505,1385
1400000US06009000506,2300
1400000US06011000100,877
1400000US06011000200,845
1400000US06011000301,1061
1400000US06011000302,1364
1400000US06011000400,952
1400000US06011000500,854
1400000US06013301000,1585
1400000US06013302005,1166
1400000US06013302006,2460
1400000US06013302007,1890
1400000US06013302009,2335
1400000US06013302011,939
1400000US06013302012,2374
1400000US06013302013,2338
1400000US06013302014,2589
1400000US06013303104,1826
1400000US06013303105,1960
1400000US06013303106,2002
1400000US06013303107,1717
1400000US06013303202,2245
1400000US06013303204,1135
1400000US06013303206,3107
1400000US06013303207,2544
1400000US06013303208,2705
1400000US06013303209,2281
1400000US06013303210,2526
1400000US06013303211,2699
1400000US06013304001,3210
1400000US06013304002,2217
1400000US06013304003,2744
1400000US06013304004,2437
1400000US06013304006,2744
1400000US06013304007,2660
1400000US06013305000,1448
1400000US06013306002,1760
1400000US06013306003,1638
1400000US06013306004,1813
1400000US06013307101,2047
1400000US06013307102,1734
1400000US06013307201,1484
1400000US06013307202,1462
1400000US06013307204,2077
1400000US06013307205,1870
